Grades
66.5
84.7
76.6
70.9
71.5
80.5
68.5
80.0
71.6
96.2
76.0
78.3
88.3
87.6
76.9
81.4
78.8
84.2
89.7
91.8
87.3
88.1
67.6
91.2
67.4
70.6
79.3
81.5
65.6
76.4
76.7
78.6
83.4
88.1
69.2
80.0
74.1
68.1
83.6
74.2
89.5
94.5
78.7
86.1
75.8
80.2
72.4
77.9
91.1
56.7
85.0
91.7
75.8
78.8
80.8
76.8
92.4
76.6
80.0
90.7
69.4
69.7
83.0
90.0
84.1
71.1
83.7
75.7
73.1
90.4
84.2
97.2
64.8
79.7
76.4
83.3
83.2
78.1
78.8
66.6
79.4
68.1
78.2
71.5
90.0
83.0
88.2
84.7
72.4
76.1
85.9
76.5
83.6
